City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Sao Jose Da Coroa Grande,BR,74.71,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
533,Santa Cruz,BO,74.66,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
535,Danjiangkou,CN,68.74,overcast clouds,32.5428,111.5086,Dongsheng Guesthouse
537,San Juan De Los Morros,VE,71.24,overcast clouds,9.9115,-67.3538,Hotel La Montaña
541,Sao Filipe,CV,78.84,scattered clouds,14.8961,-24.4956,Hotel Xaguate
544,Sal Rei,CV,78.76,few clouds,16.1833,-22.9167,Marine Club Beach Resort
547,Omboue,GA,74.82,overcast clouds,-1.5746,9.2618,Hotel Olako
548,Migori,KE,63.68,few clouds,-1.0634,34.4731,"Calabash Hotel, Migori"
551,Manglaur,IN,76.5,broken clouds,29.8,77.8667,Hotel Godawari
553,Zambezi,ZM,70.0,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
554,Ponta Delgada,PT,75.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
555,Doume,CM,66.69,overcast clouds,4.2333,13.45,Hotel Universel
556,Ganganagar,IN,79.86,clear sky,29.9167,73.8833,AMOR HOTEL
557,Tabou,CI,75.38,light rain,4.423,-7.3528,hotêl doufoulougou
562,Craig,US,62.55,overcast clouds,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
563,Beyneu,KZ,65.41,clear sky,45.3167,55.2,NUR
566,Tuni,IN,77.49,overcast clouds,17.35,82.55,Sai Krishna Lodge
567,Axim,GH,74.59,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
569,Kisangani,CD,70.66,moderate rain,0.5167,25.2,Grand Ramela Hotel
571,Chuzhou,CN,70.05,overcast clouds,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
573,Kropotkin,RU,62.38,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
580,Aksay,RU,65.25,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
584,Pemba,MZ,72.3,few clouds,-12.974,40.5178,Guesthouse Samotina
587,Kalaleh,IR,76.6,clear sky,37.3807,55.4916,کلاله
