City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Marrakesh,MA,2022-09-15 21:31:20,31.6315,-8.0083,73.47,64,40,11.5
198,Nador,MA,2022-09-15 21:31:20,35.174,-2.9287,77.25,57,0,11.5
199,Tateyama,JP,2022-09-15 21:28:11,34.9833,139.8667,72.1,71,100,8.7
200,Merauke,ID,2022-09-15 21:31:21,-8.4667,140.3333,78.67,84,83,12.46
201,Vila Velha,BR,2022-09-15 21:31:21,-20.3297,-40.2925,73.35,88,75,11.5
202,Aklavik,CA,2022-09-15 21:31:22,68.2191,-135.0107,42.8,93,100,0.0
203,Petrozavodsk,RU,2022-09-15 21:31:22,61.7849,34.3469,51.26,100,98,2.24
204,Sept-Iles,CA,2022-09-15 21:28:02,50.2001,-66.3821,52.05,64,75,25.32
205,Ixtapa,MX,2022-09-15 21:31:23,20.7,-105.2,87.03,74,40,10.36
206,Ngunguru,NZ,2022-09-15 21:31:23,-35.6167,174.5,56.7,55,41,9.06
207,Padang,ID,2022-09-15 21:31:23,-0.9492,100.3543,76.32,88,100,3.11
208,Montevista,PH,2022-09-15 21:31:24,7.6933,125.9889,74.32,93,100,2.26
209,Cayenne,GF,2022-09-15 21:29:05,4.9333,-52.3333,86.04,70,0,9.22
210,Katsuura,JP,2022-09-15 21:31:24,35.1333,140.3,75.58,64,100,6.91
211,Sola,VU,2022-09-15 21:31:25,-13.8833,167.55,81.27,83,100,2.3
212,Cidreira,BR,2022-09-15 21:31:25,-30.1811,-50.2056,60.67,85,84,10.89
213,Roebourne,AU,2022-09-15 21:31:25,-20.7833,117.1333,70.43,30,0,13.78
214,Georgetown,MY,2022-09-15 21:29:48,5.4112,100.3354,78.73,93,20,3.44
215,Sarmanovo,RU,2022-09-15 21:31:26,55.2553,52.5891,54.28,60,100,6.38
216,Kamaishi,JP,2022-09-15 21:31:26,39.2667,141.8833,67.93,81,100,8.14
217,Mabaruma,GY,2022-09-15 21:31:26,8.2,-59.7833,79.74,82,69,4.79
218,Sao Joao Da Barra,BR,2022-09-15 21:31:27,-21.6403,-41.0511,71.69,87,60,11.59
219,Belaya Gora,RU,2022-09-15 21:31:27,68.5333,146.4167,37.13,92,100,8.57
220,Omsukchan,RU,2022-09-15 21:31:27,62.5333,155.8,36.25,63,17,6.51
221,Liku,ID,2022-09-15 21:31:28,-0.7275,119.8922,73.51,93,73,2.28
222,Amahai,ID,2022-09-15 21:31:28,-3.3333,128.9167,76.82,89,69,2.59
223,Alofi,NU,2022-09-15 21:31:29,-19.0595,-169.9187,82.29,65,88,11.5
224,Aykhal,RU,2022-09-15 21:31:29,66.0,111.5,37.54,97,100,21.54
225,Raga,SS,2022-09-15 21:30:18,8.4596,25.678,70.61,95,100,3.58
226,Arman,RU,2022-09-15 21:31:29,59.7,150.1667,45.81,57,79,6.8
227,Kodiak,US,2022-09-15 21:31:30,57.79,-152.4072,51.31,87,100,0.0
228,Nemuro,JP,2022-09-15 21:31:30,43.3236,145.575,62.2,72,100,5.48
229,Caravelas,BR,2022-09-15 21:31:31,-17.7125,-39.2481,73.62,85,0,5.88
230,Esperance,AU,2022-09-15 21:31:31,-33.8667,121.9,55.24,64,98,26.15
231,Kichera,RU,2022-09-15 21:31:32,55.9375,110.0997,40.51,78,74,6.85
232,Puebloviejo,CO,2022-09-15 21:31:32,10.9938,-74.2844,85.03,79,75,5.75
233,Umba,RU,2022-09-15 21:31:32,66.6871,34.3429,49.21,96,100,10.38
234,Bandarbeyla,SO,2022-09-15 21:31:33,9.4942,50.8122,78.87,74,90,28.43
235,Port Elizabeth,ZA,2022-09-15 21:32:33,-33.918,25.5701,59.09,96,20,1.14
236,Rawlins,US,2022-09-15 21:29:37,41.7911,-107.2387,62.49,55,100,17.27
237,Pingzhuang,CN,2022-09-15 21:32:33,42.0372,119.2889,56.5,97,77,7.4
238,Sitka,US,2022-09-15 21:32:34,57.0531,-135.33,58.89,67,40,8.05
239,Camopi,GF,2022-09-15 21:32:34,3.1655,-52.3158,83.52,55,94,5.82
240,Sassandra,CI,2022-09-15 21:32:35,4.95,-6.0833,74.88,91,81,6.98
241,Portland,US,2022-09-15 21:31:24,45.5234,-122.6762,77.32,52,20,8.05
242,Krasnyy Chikoy,RU,2022-09-15 21:32:35,50.3643,108.7512,43.83,96,100,4.16
243,Banska Bystrica,SK,2022-09-15 21:32:35,48.5,19.5,58.32,92,66,6.69
244,Mount Isa,AU,2022-09-15 21:32:36,-20.7333,139.5,69.57,49,40,4.61
245,Victoria,HK,2022-09-15 21:29:25,22.2855,114.1577,86.32,72,51,1.99
246,Tual,ID,2022-09-15 21:32:36,-5.6667,132.75,81.36,79,16,10.42
247,Kudahuvadhoo,MV,2022-09-15 21:32:37,2.6708,72.8944,80.2,73,9,4.09
248,Nishihara,JP,2022-09-15 21:32:37,26.1842,127.7558,81.68,86,40,10.36
249,Salinas,US,2022-09-15 21:31:03,36.6777,-121.6555,81.0,66,0,14.97
250,Ostrovnoy,RU,2022-09-15 21:32:38,68.0531,39.5131,47.17,95,100,7.94
251,Sobolevo,RU,2022-09-15 21:32:38,54.4299,31.8996,50.92,96,66,6.96
252,Biltine,TD,2022-09-15 21:32:39,14.5333,20.9167,78.44,71,100,8.43
253,Zhuanghe,CN,2022-09-15 21:32:39,39.7008,122.9911,67.05,96,100,19.55
254,Tres Lagoas,BR,2022-09-15 21:32:39,-20.7511,-51.6783,76.12,47,98,7.14
255,San Patricio,US,2022-09-15 21:32:40,28.017,-97.5169,93.15,50,12,13.22
256,Fairbanks,US,2022-09-15 21:28:06,64.8378,-147.7164,55.74,89,75,9.22
257,Port-Cartier,CA,2022-09-15 21:32:40,50.0334,-66.8654,51.75,73,100,28.1
258,South Sioux City,US,2022-09-15 21:32:41,42.4739,-96.4136,87.01,35,0,19.57
259,Qaanaaq,GL,2022-09-15 21:32:41,77.484,-69.3632,31.35,93,100,7.11
260,Abha,SA,2022-09-15 21:28:28,18.2164,42.5053,67.82,68,0,0.0
261,Hohhot,CN,2022-09-15 21:32:42,40.8106,111.6522,52.09,82,0,4.47
262,Biak,ID,2022-09-15 21:32:42,-0.9131,122.8766,74.43,84,100,5.08
263,Thinadhoo,MV,2022-09-15 21:32:43,0.5333,72.9333,80.55,70,18,2.17
264,San Ramon,US,2022-09-15 21:32:43,37.7799,-121.978,76.5,62,20,12.66
265,Kavaratti,IN,2022-09-15 21:32:44,10.5669,72.642,80.08,79,99,10.45
266,Tuatapere,NZ,2022-09-15 21:32:44,-46.1333,167.6833,46.74,68,81,6.2
267,San Lorenzo,PY,2022-09-15 21:31:41,-25.3333,-57.5333,76.59,31,0,10.36
268,Santa Cruz De Tenerife,ES,2022-09-15 21:32:44,28.4682,-16.2546,73.0,86,40,20.71
269,Faya,SA,2022-09-15 21:32:45,18.3851,42.4509,68.11,25,4,3.69
270,Malumfashi,NG,2022-09-15 21:32:45,11.7853,7.6218,74.43,81,94,8.99
271,Chuy,UY,2022-09-15 21:32:46,-33.6971,-53.4616,54.37,92,12,6.53
272,Te Anau,NZ,2022-09-15 21:32:46,-45.4167,167.7167,43.68,86,84,2.08
